Response ID,Time Taken to Complete (Seconds),1. Вика потеряла кошку. ОНА ИЩЕТ СВОЮ КОШКУ.,3. Обед на ест суп редко Петя.,4. Я ем свой завтрак.,7. Коля потерял телефон. ОН ИЩЕТ ЕГО ТЕЛЕФОН.,8. Я продаю свою машину.,10. Я читаю свой учебник.,12. Я  ищу мою сумку.            ,14. Вика потеряла книгу. ОНА ИЩЕТ СВОЮ КНИГУ.,16. Коля потерял ключ. ОН ИЩЕТ ЕГО КЛЮЧ.,17. Книги городам русских о. ,18. Анна купила квартиру. ОНА ЛЮБИТ ЕЁ КВАРТИРУ.,20. Я ищу свой паспорт.,21. Анна купила собаку. ОНА ЛЮБИТ СВОЮ СОБАКУ.,23. Я убираю мою комнату.,27. Дима купил велосипед. ОН ЛЮБИТ СВОЙ ВЕЛОСИПЕД.,28. Учителя русский были хорошими языка.,32. Петя ел рыба картошка c.,33. Я  убираю свой дом.,35. Столе лежат и книги журналы на.,37. Я читаю мою книгу.  ,39. Я  ищу  свою сумку. ,41. Библиотеке читают студенты книги  в.,45. Большом в живет городе много  людей.,47. Я убираю мой дом.,49. Дима купил дом. ОН ЛЮБИТ СВОЙ ДОМ.,51. Я читаю свою книгу.,52. Машину в Дима новый среду купить.,53. Коля потерял ключ. ОН ИЩЕТ СВОЙ КЛЮЧ.,55. Дима купил велосипед. ОН ЛЮБИТ ЕГО ВЕЛОСИПЕД.,56. Бассейне я в плавать люблю.,57. Я ищу мой паспорт.,59. Коля потерял телефон. ОН ИЩЕТ СВОЙ ТЕЛЕФОН.,60. Дерево белка на живет большом.,62. Я  продаю мою машину.,63. Часто я гуляю парк в.,64. Вика потеряла книгу. ОНА ИЩЕТ ЕЕ КНИГУ.,66. Мальчик в играет парке маленький.,68. День Лена читает каждый книгу.,70. Анна купила собаку. ОНА ЛЮБИТ ЕЕ СОБАКУ.,71. Вчера собака Петя терять своя.,72. Я читаю мой учебник.,73. Летела по самолет небу большая.       ,74. Дима купил дом. ОН ЛЮБИТ ЕГО ДОМ.,76. Я  убираю свою комнату.,77. Фильмы известных без aктер были cкучными.,78. Анна купила квартиру. ОНА ЛЮБИТ СВОЮ КВАРТИРУ.,79. Я ем мой завтрак.,80. Вика потеряла кошку. ОНА ПОТЕРЯЛА ЕЕ КОШКУ.,group
75611357,1562,5,1,5,3,5,5,5,5,3,1,4,5,5,4,5,1,1,5,1,5,5,1,1,4,5,5,1,5,4,1,4,5,1,4,1,4,1,1,4,1,4,1,4,5,1,5,4,4,L2
75627146,1297,5,1,4,3,5,4,5,5,3,1,3,5,5,5,5,1,1,5,2,5,5,2,2,5,5,5,1,5,3,2,5,5,1,5,1,4,2,2,4,1,5,1,4,5,1,5,5,4,L2
75629115,630,5,1,5,2,5,5,3,5,2,1,2,5,5,3,5,1,1,5,1,3,5,1,1,3,5,5,1,5,3,1,3,5,1,3,1,3,1,1,3,1,3,1,2,5,1,5,3,2,L2
75647631,1237,5,1,1,1,5,5,1,5,1,1,5,5,5,5,4,2,1,1,1,4,5,1,1,5,5,5,1,5,1,1,4,5,1,5,1,1,1,1,1,1,2,2,2,5,5,5,2,1,L2
75690096,975,5,1,5,3,5,5,4,5,4,1,3,5,5,4,5,1,1,5,1,4,5,1,1,4,5,5,1,5,5,1,5,5,1,5,1,5,1,1,5,1,5,1,5,5,1,5,4,5,L2
75695360,790,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L2
75695457,1273,5,1,4,2,5,5,3,5,3,1,2,5,5,3,5,1,2,5,1,2,5,1,1,3,5,4,1,5,4,1,3,5,1,2,3,2,1,1,3,1,3,1,3,5,1,3,3,2,L2
75698896,500,5,3,4,3,5,4,3,5,2,2,2,5,4,3,4,2,1,4,2,3,5,2,2,3,4,5,1,3,2,2,5,3,1,3,1,3,5,1,5,1,5,1,5,5,1,5,5,4,L2
75699400,517,5,1,4,3,5,4,5,5,3,1,3,5,5,5,5,1,2,5,1,5,5,1,2,5,4,4,1,5,2,1,5,5,1,5,1,3,1,1,4,1,5,2,4,5,2,4,5,2,L2
75699648,703,5,1,5,4,5,5,5,5,5,1,5,5,5,5,5,1,1,5,1,4,5,1,1,5,5,5,1,5,5,1,4,5,1,4,1,5,1,1,5,1,4,2,5,5,2,5,4,5,L2
75702460,829,5,1,5,1,5,5,3,5,1,1,2,5,5,3,5,1,1,5,1,3,5,2,1,4,5,5,2,5,2,2,4,5,1,4,1,2,1,2,3,1,4,1,2,5,1,5,4,2,L2
75707585,973,5,1,4,5,5,5,5,5,5,1,5,5,5,4,5,1,1,5,1,4,5,1,1,4,5,5,1,5,2,1,4,5,1,4,1,2,1,1,2,1,4,1,2,5,1,5,3,2,L2
75715823,334,2,3,5,3,5,3,4,2,4,2,4,2,4,3,4,5,3,2,4,5,4,3,4,5,5,2,5,4,5,2,5,5,4,3,1,3,4,3,1,4,2,3,5,1,2,5,4,1,L2
75724093,367,5,1,3,3,5,5,3,5,3,1,2,5,5,3,5,1,1,5,3,4,5,2,1,5,5,5,1,2,3,1,4,5,1,5,1,3,1,5,4,1,5,1,3,4,1,4,4,4,L2
75728741,4404,5,1,5,2,5,5,2,5,3,1,2,5,5,2,5,1,1,5,1,3,5,1,2,3,5,5,1,5,5,2,3,5,1,3,2,3,2,2,3,1,3,2,3,5,2,5,5,2,L2
75731563,852,4,2,5,2,5,5,5,2,4,2,4,5,4,4,5,1,2,5,1,4,5,1,2,5,5,3,2,5,5,2,5,5,2,4,1,5,1,1,5,1,4,1,5,5,1,5,5,5,L2
75732660,9607,5,3,1,1,5,5,5,1,1,1,5,5,5,5,5,1,5,5,1,1,5,1,1,5,5,5,1,4,1,4,5,1,1,4,1,4,1,1,1,1,5,1,4,5,1,5,1,4,L2
75909753,776,3,3,5,4,5,3,2,5,5,3,5,5,5,5,5,4,5,5,4,5,4,3,4,5,5,5,4,4,5,3,4,4,2,5,4,4,3,4,5,2,5,4,5,5,3,3,4,5,L2
75981565,924,5,1,4,3,5,5,3,5,3,1,3,5,5,3,5,1,1,5,1,3,5,1,1,3,5,5,1,5,3,1,3,5,1,3,1,3,1,1,3,1,3,1,3,5,1,5,3,3,L2
76003791,3937,4,2,4,4,5,4,5,5,4,3,5,4,5,5,5,4,1,4,4,5,4,2,2,5,4,5,1,5,4,1,5,5,3,5,2,4,2,1,5,3,4,4,5,5,3,5,4,4,L2
76330788,1873,5,1,5,1,5,1,5,5,1,1,1,5,5,5,5,1,1,5,1,5,5,1,1,5,5,5,1,5,5,1,5,5,1,5,1,5,1,1,5,1,5,1,5,5,1,5,5,5,L2
76391579,684,5,4,3,2,4,4,2,4,2,2,4,4,4,4,3,2,2,3,2,4,5,2,3,4,5,4,3,3,5,2,4,5,3,4,5,3,2,3,4,2,4,4,4,4,4,5,4,4,L2
76462531,1069,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,3,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,L2
75119250,379,5,1,5,1,5,5,2,5,2,1,2,5,5,2,4,1,1,3,1,2,5,1,1,2,5,5,1,5,2,1,2,5,1,2,1,2,1,1,2,1,2,1,2,5,1,4,3,2,L1
75152219,649,4,1,2,2,5,4,5,4,1,1,1,4,5,3,5,1,1,3,1,2,5,1,1,2,4,5,1,5,1,1,5,5,1,2,1,1,1,1,1,1,3,1,1,5,1,5,2,1,L1
75345977,527,3,1,3,1,4,4,2,4,1,1,1,4,4,2,5,1,2,2,1,1,5,1,1,2,5,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,L1
75346460,507,5,1,5,1,5,5,2,5,2,1,2,5,5,2,5,1,1,5,1,2,5,1,1,2,5,5,1,5,3,1,2,5,1,2,1,2,1,1,2,1,2,1,2,5,1,5,5,2,L1
75348208,421,5,1,5,2,5,5,2,5,2,1,2,5,5,2,5,1,1,5,1,1,5,1,1,2,5,5,1,5,1,1,2,5,1,4,1,2,1,1,2,1,1,1,1,5,1,5,4,1,L1
75386489,464,5,1,5,1,5,5,2,5,2,1,1,5,5,3,4,1,1,5,1,4,5,1,1,3,4,5,1,5,2,1,5,5,1,4,1,2,1,1,2,1,3,1,2,5,1,5,3,2,L1
75386506,920,5,1,5,1,5,5,5,5,1,1,1,5,5,4,5,1,1,5,1,4,5,1,1,3,5,5,1,5,1,1,4,5,1,4,1,1,1,1,1,1,4,1,1,5,1,5,3,1,L1
75405815,382,5,1,5,1,5,5,3,5,2,1,1,5,5,3,4,1,1,5,1,4,5,1,1,3,4,5,1,5,1,1,5,5,1,3,1,2,1,1,2,1,4,1,2,5,1,4,5,2,L1
75459414,674,5,1,5,2,5,5,4,5,2,1,2,5,5,4,5,1,1,5,1,4,5,2,1,3,5,5,1,5,3,1,3,5,1,4,1,3,1,1,3,1,4,1,3,5,1,5,4,2,L1
75483291,1509,5,1,4,2,5,4,3,5,2,1,2,5,5,2,5,1,1,3,1,3,4,1,1,4,5,5,1,5,2,1,4,5,1,3,1,2,1,1,2,1,3,1,2,5,1,5,3,2,L1
75489325,754,4,1,4,2,4,5,5,5,2,1,2,5,5,5,5,1,1,5,1,5,5,1,1,5,5,5,1,5,2,1,5,5,1,5,1,2,1,1,2,1,5,1,2,5,1,5,5,2,L1
75490013,635,5,1,5,2,5,4,4,5,2,1,2,5,5,5,5,1,1,5,1,2,5,1,1,5,5,5,1,5,5,1,5,5,1,4,1,4,1,1,3,1,4,1,3,5,1,5,5,3,L1
75498487,470,4,1,5,2,5,5,5,5,2,1,2,5,5,5,5,1,1,5,1,5,5,1,1,5,5,5,1,5,1,1,5,5,1,5,1,2,1,1,2,1,5,1,2,5,1,5,5,2,L1
75517828,1069,4,1,4,2,5,4,4,5,2,1,2,5,5,3,5,1,2,5,1,3,5,1,1,4,5,4,1,5,1,1,4,5,1,4,2,3,1,2,2,3,4,2,2,5,2,5,4,2,L1
75550690,575,4,1,4,2,4,4,3,4,3,1,2,4,4,4,5,1,1,4,1,3,4,1,1,3,4,5,1,5,3,1,3,5,1,3,1,2,1,1,2,1,3,1,2,5,1,5,3,2,L1
75607682,431,4,1,3,4,5,5,4,4,4,1,4,5,5,4,5,1,1,4,1,2,5,1,1,3,5,5,1,5,4,1,4,5,1,4,1,4,1,1,5,1,3,1,4,5,1,5,2,5,L1
75613596,532,3,1,5,1,5,2,3,3,1,1,1,5,3,2,3,1,1,4,1,4,4,1,1,3,5,3,1,5,2,1,5,5,1,2,1,1,1,1,2,1,3,1,2,5,1,4,3,1,L1
75629779,637,5,1,5,2,5,4,2,5,2,1,2,5,4,2,5,1,1,5,1,2,5,1,1,2,5,4,1,5,2,1,2,4,1,2,1,2,1,1,2,1,2,1,2,4,1,4,2,2,L1
75629946,612,4,1,3,1,5,3,3,5,1,1,2,5,5,3,5,1,1,5,1,2,5,1,1,2,5,5,1,5,2,1,2,5,1,2,1,2,1,1,2,1,2,1,2,5,1,5,2,2,L1
75633411,669,3,1,5,2,5,5,2,4,2,1,2,5,3,2,3,1,1,3,1,3,5,1,1,3,4,5,1,5,2,1,2,5,1,2,1,2,1,1,2,1,2,1,2,5,2,4,2,2,L1
75636243,382,4,1,5,2,5,4,3,4,2,1,2,4,4,2,5,1,1,4,1,2,5,1,1,2,5,4,1,4,2,1,2,4,1,2,1,2,1,1,2,1,2,1,2,5,1,5,2,2,L1
75642937,1358,5,1,4,1,5,4,3,4,2,1,1,5,5,3,4,1,1,4,1,3,4,1,1,4,4,4,1,4,1,1,3,4,1,3,1,2,1,1,2,1,3,1,3,5,1,5,3,1,L1
75645186,721,5,1,5,1,5,5,4,5,1,1,2,5,5,4,5,1,1,5,1,4,5,1,1,4,5,5,1,5,2,1,4,5,1,4,1,1,1,1,2,1,4,1,2,5,1,5,4,2,L1
75651648,573,1,1,5,3,5,5,2,5,2,1,2,5,5,1,5,1,1,5,1,1,5,1,1,3,5,5,1,5,1,1,1,5,1,1,1,3,1,1,1,1,1,1,5,5,1,5,1,2,L1
75697965,1113,1,1,4,3,5,4,2,5,2,1,2,5,5,3,5,1,2,5,1,3,5,2,2,4,5,5,1,5,3,3,3,5,1,4,1,3,1,1,4,1,4,1,4,5,1,5,3,2,L1
75698213,915,3,1,5,1,5,4,2,3,2,2,2,5,5,4,4,1,1,4,1,4,4,2,1,4,4,4,1,2,1,1,4,2,1,3,1,1,5,1,1,1,4,1,1,4,1,2,4,1,L1
75698443,1022,3,1,5,2,5,4,3,3,2,1,2,5,4,5,5,1,1,5,1,4,5,1,1,4,5,5,1,5,5,3,5,5,1,4,1,2,2,1,3,1,3,1,3,5,2,5,4,3,L1
75698477,397,5,1,5,1,5,4,5,5,2,1,1,5,5,2,5,1,1,5,1,3,5,1,1,2,5,5,1,5,2,1,2,5,1,2,1,1,1,1,2,1,1,1,1,5,1,5,1,1,L1
75698491,584,3,1,5,1,5,3,2,2,2,1,2,3,3,2,4,1,1,3,1,3,3,1,1,3,4,3,1,4,2,1,3,4,1,2,1,2,1,1,2,1,2,1,2,3,1,3,2,1,L1
75773144,772,5,1,4,2,5,4,5,5,3,1,3,5,5,5,4,1,1,5,1,4,5,1,1,4,5,5,1,5,3,1,4,5,1,3,1,2,1,1,2,1,3,1,2,5,1,5,3,2,L1
75819546,1251,5,1,5,2,5,5,3,5,3,2,2,5,3,3,5,1,1,5,1,3,5,1,1,5,5,5,1,5,3,1,3,5,1,5,1,3,2,1,3,1,4,1,4,5,1,5,4,3,L1
76242773,391,5,5,4,5,5,5,3,5,2,1,1,5,4,3,4,1,1,4,1,3,5,1,1,4,5,5,1,4,2,1,4,5,1,4,1,2,1,1,2,1,2,1,2,5,1,5,2,2,L1
76415726,595,5,1,5,2,5,5,3,5,2,1,2,5,5,3,5,1,1,5,1,4,5,1,1,3,5,5,1,5,2,1,2,5,1,3,1,1,1,1,3,1,3,1,3,5,1,5,3,2,L1
